mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
39014005;;;;;;;;;;;;;;;;;;;;;;;;621000;603800
39014009;;;;;;;;;;;;;;;;;;;;;;;;;603800
39014010;;;;;;;;;;;;;;;;;;;;;;;;621000;603800
39014012;;;;;;;;;;;;;;;;;;;;;;;638300;621000;603800
39014013;;;;;;;;;;;;;;;;;;890100;869400;848700;690000;672800;655500;638300;603800
39014006;;;;;;;;;;;;;;;;;;;;;;;;;603800
39014011;;;;;;;;;;;;;;;;;;931500;910800;890100;724500;638300;631400;627900;603800
17410011;;;;;;;;;;;;;;;;;;;;931500;884900;853900;807300;776300;745200
17410010;;;;;;;;;;;;;;;;;;;;931500;884900;853900;807300;776300;745200
A1635011;;;;;;;;6510000;6314700;6125100;5941500;5762900;5590200;5421900;5164300;5009600;4859300;4712000;4572500;4434900;4301300;4172600;;;
A1635010;;;;;;;;6200000;6014000;5833600;5657500;5488700;5324300;5164300;5009600;4859300;4712000;4572500;4434900;4301300;4172600;4047500;;;
0052934;;;;;;;;6510000;6314700;6125100;5941500;5762900;5590200;5421900;5164300;5009600;4859300;4712000;4572500;4434900;4301300;4172600;;;
0052933;;;;;;;;6200000;6014000;5833600;5657500;5488700;5324300;5164300;5009600;4859300;4712000;4572500;4434900;4301300;4172600;4047500;;;
A1635013;;;;;;;;7440000;7216800;6999800;6790200;6586000;6389100;6196900;6010900;5831100;5656000;5486400;5321800;5162100;5007300;4856200;;;
A1635012;;;;;;;;6975000;6765800;6562700;6365900;6174900;5989700;5809900;5635800;5466500;5302600;5143500;4991000;4839100;4693400;4553400;;;
0052936;;;;;;;;7440000;7216800;6999800;6790200;6586000;6389100;6196900;6010900;5831100;5656000;5486400;5321800;5162100;5007300;4856200;;;
0052935;;;;;;;;6975000;6765800;6562700;6365900;6174900;5989700;5809900;5635800;5466500;5302600;5143500;4991000;4839100;4693400;4553400;;;
0052932;;;;;;;;8060000;7818200;7582600;7356300;7135400;6920800;6713100;6512300;6316300;6127200;5942700;5765200;5592200;5347500;5254500;;;
A1635024;;;;;;;;8835000;8571500;8308000;8060000;7827500;7587300;7362500;7138500;6924300;6711500;6515100;6319700;6130300;5946100;5766000;;;
0052924;;;;;;;;8525000;8269300;8021300;7779500;7547000;7320700;7101000;6888200;6680500;6479000;6277500;6097700;5914800;5736600;5564500;;;
A1635022;;;;;;;;9765000;9470500;9176000;8912500;8633500;8385500;8137500;7889500;7641500;7409000;7192000;6975000;6773500;6572000;6370500;;;
0052925;;;;;;;;9300000;9021000;8749800;8487800;8230500;7985600;7672500;7514400;7285000;7068000;6858800;6649500;6448000;6246500;6060500;;;
A1635023;;;;;;;;11315000;10974000;10633000;10323000;10013000;9703000;9424000;9129500;8866000;8602500;8339000;8091000;7843000;7615200;7378000;;;
0052926;;;;;;;;10850000;10524500;10199000;9889000;9605400;9315500;9036500;8757500;8494000;8246000;7998000;7760900;7517500;7300500;7083500;;;
A1635027;;;;;;;;12090000;11727300;11375500;11034100;10703200;10382100;10070700;9768600;9475500;9191200;8915400;8648100;8388600;8136900;7892800;;;
A1635028;;;;;;;;12090000;11727300;11375500;11034100;10703200;10382100;10070700;9768600;9475500;9191200;8915400;8648100;8388600;8136900;7892800;;;
0052927;;;;;;;;11625000;11276300;10938000;10609800;10291500;9982800;9683300;9392800;9111100;8837600;8572600;8315400;8065900;7823900;7589300;;;
A1635036;;;;;;;;3875000;3758800;3645900;3536500;3430500;3327500;3227700;3131000;3036900;2945000;2857400;2771700;2688600;2607900;2529600;;;
A1635034;;;;;;;;3410000;3307700;3208500;3112100;3018800;2928000;2840400;2755100;2672200;2591600;2514100;2438200;2365900;2294000;2225800;;;
A1635031;;;;;;;;4650000;4510500;4375200;4243900;4116500;3993100;3873300;3757000;3644400;3534900;3428900;3326100;3226300;3129500;3035700;;;
A1635030;;;;;;;;4030000;3909100;3791800;3678000;3567600;3460700;3356800;3256100;3158400;3063700;2971800;2883000;2796200;2712500;2630400;;;
0052929;;;;;;;;4650000;4510500;4375200;4243900;4116500;3993100;3873300;3757000;3644400;3534900;3428900;3326100;3226300;3129500;3035700;;;
0052928;;;;;;;;4650000;4510500;4375200;4243900;4116500;3993100;3873300;3757000;3644400;3534900;3428900;3326100;3226300;3129500;3035700;;;
A1635037;;;;;;;;4650000;4510500;4375200;4243900;4116500;3993100;3873300;3757000;3644400;3534900;3428900;3326100;3226300;3129500;3035700;;;
A1635035;;;;;;;;4030000;3909100;3791800;3678000;3567600;3460700;3356800;3256100;3158400;3063700;2971800;2883000;2796200;2712500;2630400;;;
A1635032;;;;;;;;4650000;4510500;4375200;4243900;4116500;3993100;3873300;3757000;3644400;3534900;3428900;3326100;3226300;3129500;3035700;;;
0052931;;;;;;;;5425000;5262300;5104200;4951000;4801900;4658400;4518600;4383100;4251500;4123900;4000200;3880300;3763400;3650300;3541400;;;
